"Espacialidades","IDHM.2010","PE"
"São João (PE)",0.57,TRUE
"São Joaquim do Monte (PE)",0.537,TRUE
"São José da Coroa Grande (PE)",0.608,TRUE
"São José do Belmonte (PE)",0.61,TRUE
"São José do Egito (PE)",0.635,TRUE
"São Lourenço da Mata (PE)",0.653,TRUE
"São Vicente Ferrer (PE)",0.549,TRUE
"Serra Talhada (PE)",0.661,TRUE
"Serrita (PE)",0.595,TRUE
"Sertânia (PE)",0.613,TRUE
"Sirinhaém (PE)",0.597,TRUE
"Solidão (PE)",0.585,TRUE
"Surubim (PE)",0.635,TRUE
"Tabira (PE)",0.605,TRUE
"Tacaimbó (PE)",0.554,TRUE
"Tacaratu (PE)",0.573,TRUE
"Tamandaré (PE)",0.593,TRUE
"Taquaritinga do Norte (PE)",0.641,TRUE
"Terezinha (PE)",0.545,TRUE
"Terra Nova (PE)",0.599,TRUE
"Timbaúba (PE)",0.618,TRUE
"Toritama (PE)",0.618,TRUE
"Tracunhaém (PE)",0.605,TRUE
"Trindade (PE)",0.595,TRUE
"Triunfo (PE)",0.67,TRUE
"Tupanatinga (PE)",0.519,TRUE
"Tuparetama (PE)",0.634,TRUE
"Venturosa (PE)",0.592,TRUE
"Verdejante (PE)",0.605,TRUE
"Vertente do Lério (PE)",0.563,TRUE
"Vertentes (PE)",0.582,TRUE
"Vicência (PE)",0.605,TRUE
"Vitória de Santo Antão (PE)",0.64,TRUE
"Xexéu (PE)",0.552,TRUE
