code,iso,country,Pop,PopGrowthRate,PopDensity,GDP,LandArea,GDPpc,SDGI,EPI2018Score,EPI2018Rank
270,GMB,Gambia,2.038501,3.03358022,201.4329051,3.169632857,10120,1554.884132,47.8,42.42,156
268,GEO,Georgia,3.7193,0.059168417,64.96028552,34.50307669,69490,9276.766243,68.6,55.69,94
276,DEU,Germany,82.667685,1.193866758,236.9380482,3658.9,348900,44260.34187,81.7,78.37,13
288,GHA,Ghana,28.206728,2.236737965,123.9638217,112.268,227540,3980.185153,59.9,49.66,124
300,GRC,Greece,10.74674,-0.687542545,83.37269201,260.905,128900,24277.59488,72.9,73.6,22
308,GRD,Grenada,0.107317,0.461381224,315.6382353,1.413048536,340,13167.05215,,50.93,118
320,GTM,Guatemala,16.582469,2.010367845,154.7449515,122.159,107160,7366.755819,58.3,52.33,110
324,GIN,Guinea,12.395924,2.48622533,50.44735471,22.60196905,245720,1823.338788,48.8,46.62,134
624,GNB,Guinea-Bissau,1.815698,2.519328921,64.56963016,2.708443938,28120,1491.681953,,44.67,143
328,GUY,Guyana,0.773303,0.621217097,3.928387097,5.619078875,196850,7266.335285,64.7,47.93,128
332,HTI,Haiti,10.847334,1.264238966,393.5897678,17.94107659,27560,1653.961848,44.1,33.74,174
340,HND,Honduras,9.112867,1.682462584,81.44487443,40.0261354,111890,4392.265947,61.7,51.51,114
348,HUN,Hungary,9.817958,-0.255022953,108.4497736,251.868,90530,25653.80703,78,65.01,43
352,ISL,Iceland,0.334252,1.033589277,3.334184539,15.13374348,100250,45276.44855,79.3,78.57,11
356,IND,India,1324.171354,1.148214693,445.3705797,8067.71,2973190,6092.648037,58.1,30.57,177
360,IDN,Indonesia,261.115456,1.137493711,144.1376574,2810.79,1811570,10764.54854,62.9,46.92,133
364,IRN,Iran,80.277428,1.1487886,49.28745058,1484.95,1628760,18497.72766,64.7,58.16,80
368,IRQ,Iraq,37.202572,2.965163696,85.65705471,598.475,434320,16086.92539,56.6,43.2,152
372,IRL,Ireland,4.773095,2.037334235,69.28574539,300.666,68890,62991.83234,77.9,78.77,9
376,ISR,Israel,8.5471,1.973219653,394.9676525,279.355,21640,32684.18528,70.1,75.01,19
380,ITA,Italy,60.60059,-0.214276426,206.026348,2103.77,294140,34715.33858,75.5,76.96,16
388,JAM,Jamaica,2.881355,0.327499919,266.0530933,23.56838997,10830,8179.62034,66.6,58.58,78
392,JPN,Japan,126.994511,-0.115284177,348.350096,4857.83,364560,38252.2832,80.2,74.69,20
400,JOR,Jordan,9.455802,3.185854645,106.5082451,79.33043971,88780,8389.604574,66,62.2,62
398,KAZ,Kazakhstan,17.797032,1.431250879,6.592225803,417.217,2699700,23443.06624,71.1,54.56,101
404,KEN,Kenya,48.461567,2.560925398,85.14876305,141.779,569140,2925.59669,54.9,47.25,130
