"tipo";"situacao";"data";"hora";"bairro";"endereco";"numero";"complemento";"natureza";"descricao";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas"
"SEM VÍTIMA";"FINALIZADA";2016-01-13;13:04:00;"IPUTINGA";"RUA REAL DA TORRE";NA;"CRUZ COM A RUA JOSÉ OSÓRIO";"COLISÃO";"COLISÃO SEM VITIMA";"0";"2";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-02-18;15:57:00;"TEJIPIÓ";"AV DR JOSE RUFINO";NA;"PROX DO HOTEL OLIMPICUS NA ENTRADA DO QUATEL";"COLISÃO";"COLISAO DE DOIS AUTOS S/V";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-03-27;14:57:00;"JOANA BEZERRA";"AV ENGENHEIRO AGAMENON DE MAGALHAES MELO";NA;"EM FRENTE AO FORUM RODOLFO AURELIANO";"COLISÃO";"COLISÃO SEGUIDO DE CHOQUE";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-04-06;17:08:00;"CAMPO GRANDE";"AV CORREIA DE BRITO";"1065";NA;"COLISÃO";"COLISÃO COM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-05-16;12:32:00;"AFOGADOS";"RUA MOTOCOLOMBO";NA;"ANTES DA PONTE DO MESMO NOME";"COLISÃO";"COLISÃO DE ÔNIBUS E AUTO SEM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-05-18;15:30:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";NA;"EM FRENTE AO 3355";"COLISÃO";"COLISÃO SEM VITIMA";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-05-24;13:20:00;"CORDEIRO";"EST DO FORTE DO ARRAIAL N. DO B. JESUS";NA;"EM FRENTE AO FORTE FRUTA";"COLISÃO";"COLISÃO COM VITIMA";"0";"1";"1";NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-09-25;08:33:00;"NOVA DESCOBERTA";"RUA NOVA DESCOBERTA";NA;"NA ENTRADA DO CORREGO DA AREIA";"COLISÃO";"COLISÃO COM CARRO OFICIAL DO IC QUE ATENDIA A DEMANDA PROTOCOLO 2016 22 265";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";NA;17:36:00;"SANTO AMARO";"RUA TREZE DE MAIO";NA;"COM A RUA VISCONDE SUASSUNA";"COLISÃO";"COLISÃO ENTRE DOIS AUTOS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";NA;18:01:00;"COELHOS";"RUA DR JOSE MARIANO";NA;"EM FRENTE A FERREIRA PINTO";"COLISÃO";"COLISÃO SEM VITIMAS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"PENDENTE";NA;11:26:00;"BOA VIAGEM";"RUA BARAO DE SOUZA LEAO";NA;"CRUZAMENTO COM DES. JOSÉ NEVES";"COLISÃO";"COLISAO ENTRE DOIS AUTOS , SENDO 1 VT DESCARACTERIZADA";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";NA;15:21:00;"SÃO JOSÉ";"RUA DO PEIXOTO";NA;"AVENIDA DANTAS BARRETO";"COLISÃO";"COLISÃO DOIS ONIBUS";"0";NA;NA;NA;NA;NA;NA;NA;NA;"2"
"SEM VÍTIMA";"FINALIZADA";NA;10:16:00;"IMBIRIBEIRA";"RUA JALISCO";NA;"PRIMEIRA A DIREITA APÓS O GERALDÃO.";"COLISÃO";NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-12-24;16:28:00;"SAN MARTIN";"AV GENERAL SAN MARTIN";NA;"PROX A CAVALARIA";"COLISÃO";"COLISÃO AUTO E MOTO COM VITIMA";"0";"1";"1";NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"CANCELADA";2016-05-14;01:45:00;"CAJUEIRO";"AV SEBASTIAO SALAZAR";"561";"INSTITUTO NOSSA SENHORA DE LOURDES //  5a CASA APÓS A IGREJA DE SÃO JUDAS TADEU";"CHOQUE";"CONDUTOR PERDEU O CONTROLE E CHOCOU-SE CONTRA O MURO DA ESCOLA";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";NA;07:52:00;"SANTO ANTÔNIO";"RUA IMPERADOR PEDRO SEGUNDO";"354";"RUA MARQUES DO RECIFE";"CHOQUE";"CHOQUE COM MTOCICLISTA";"0";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-08-01;22:05:00;"CAMPO GRANDE";"RUA ODORICO MENDES";NA;"EM FRENTE AO CLUBE DAS PÁS";"ATROPELAMENTO";"ATROPELAMENTO DE CACHORRO.";"0";NA;"1";NA;"1";NA;NA;NA;NA;"2"
"SEM VÍTIMA";"FINALIZADA";2016-02-01;18:55:00;"BAIRRO DO RECIFE";"CAIS DO APOLO";NA;"EM FRENTE AO TRF, SENTIDO MARCO ZERO";"ENGAVETAMENTO";"COLISÃO ENTRE  TRES AUTOS S/V";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-01;07:26:00;"CABANGA";"AV SUL";NA;"NO SEMAFORO N260";"COLISÃO";"COL.C/V,SET.CD";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-01;07:29:00;"BOA VIAGEM";"AV ENGENHEIRO DOMINGOS FERREIRA";NA;"E/F  FARMÁCIA DO TRABALHADOR, NO LADO DIREITO DA VIA. (NO SEMÁFORO N 216)";"COLISÃO";"SEM VÍTIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-01;09:31:00;"CAJUEIRO";"RUA CORONEL URBANO RIBEIRO DE SENA";"11";"RUA   DA RADIO CAPIBARIBE";"COLISÃO";"COLISÃO SEM VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-01;16:37:00;"SAN MARTIN";"AV GENERAL SAN MARTIN";NA;"E/F DA CAVALARIA";"COLISÃO";"COLISAO DE MOTO E AUTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-02;11:00:00;"ARRUDA";"RUA DO MACHADO";"862";"E/F AO BLOCO OS IRRESPONSAVEIS";"COLISÃO";"COM UMA VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-01-02;12:52:00;"CASA AMARELA";"RUA VASCO DA GAMA";NA;"E/F DO TREZE DO VASCO";"COLISÃO";"COLISAO DE MOTO E AUTO COM UMA VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-02;13:29:00;"MADALENA";"EST DOS REMEDIOS";NA;"E/F  AO HOSP LESSA DE ANDRADE, ANTES DO CRUZAMENTO COM A RUA BENFICA.";"COLISÃO";"01 AUTO 01 ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-02;15:08:00;"CASA AMARELA";"RUA ALTO SANTA ISABEL";NA;"PROX DO MERCADO DE CASA MARELA NA SUBIDA DO ALTO SANTA IZABEL";"COLISÃO";"COLISAO DE MOTO AUTO  S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-02;15:18:00;"GUABIRABA";"RUA CASSITERITA";NA;"TERMINAL DA GUABIRABA";"COLISÃO";"01 AUTO 01 MIROONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-02;17:41:00;"MACAXEIRA";"AV DA RECUPERACAO";NA;"DENTRO DA INTEGRAÇAO DA MACAXEIRA";"COLISÃO";"COLISAO DE ONIBUS E AUTO S/V";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-02;18:21:00;"MACAXEIRA";"AV NORTE";NA;"NO GIRADOURO, PROX. A INTEGRAÇÃO SENTIDO CIDADE";"COLISÃO";"COLISÃO ENTRE AUTO E MOTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;00:15:00;"BOA VIAGEM";"AV ENGENHEIRO DOMINGOS FERREIRA";NA;"EM FRENTE AO RESTAURANTE PONTEIO // BAR SÓ CALDINHO";"COLISÃO";"COLISÃO ENTRE UM ÔNIBUS E UM AUTO-PASSEIO SEM VÍTIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-03;00:49:00;"JARDIM SÃO PAULO";"AV SAO PAULO";NA;"PRÓX AO SUPERMERCADO VENDE MAIS";"COLISÃO";"COLISÃO ENTRE UM AUTO E UMA MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;07:10:00;"MADALENA";"AV VISCONDE DE ALBUQUERQUE";"185";"TRAVESSA COM ARNALDO BASTOS,APÓS O BANCO ITAU";"COLISÃO";"COLISÃO SEM VITIMAS";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;09:40:00;"ARRUDA";"AV BEBERIBE";NA;"SEMAFORO 131";"COLISÃO";"COLISÃO SEM VITÍMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;11:02:00;"AFLITOS";"AV CONS ROSA E SILVA";"1376";"E/F  AO EDIFICIO  MIRNA, SEMAFORO 047";"COLISÃO";"COLISÃO SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-03;11:42:00;"SANTO AMARO";"RUA CAPITAO LIMA";NA;"PROXÍMO AO JORNAL DO COMMERCIO";"COLISÃO";"COLISÃO COM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;13:55:00;"VÁRZEA";"AV CAXANGA";NA;"EM FRENTE AO TERMINAL DE ONIBUS DA CAXANGÁ";"COLISÃO";"COLISÃO S VITIMA OYY9726 ONIBUS / MOTO KJK5133";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-03;14:38:00;"ESPINHEIRO";"AV JOAO DE BARROS";"1545";"EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"CANCELADA";2016-01-03;15:42:00;"ILHA DO RETIRO";"AV BEIRA RIO";"302";"POR TRAS DO CLUBE DO SPORT";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;16:14:00;"CASA AMARELA";"RUA ALTO 13 DE MAIO";"505";"EM FRENTE AO TERMINAL DE ONIBUS DO ALTO 13 DE MAIO";"COLISÃO";"AUTO E ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-03;19:30:00;"TORRE";"AV VISCONDE DE ALBUQUERQUE";NA;"EM FRENTE AO ATACDO DOS PRESENTES, SENTIDO PARNAMIRIM";"COLISÃO";"COLISÃO ENTRE DOIS AUTO, S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-03;22:10:00;"AFOGADOS";"RUA NICOLAU PEREIRA";NA;"NA ESQUINA DA FABRICA DA LIMONDA NO CRUZAMENTO DA RUA DA PAZ";"COLISÃO";"ONIBUS DE TURISMO E AUTO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;08:37:00;"PINA";"RUA JOSE MARIANO FILHO";"87";"REPARAÇÃO E LOCADORA DE VEICULOS FOX,EM FRENTE";"COLISÃO";"COLISÃO SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;11:55:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"EM FRENTE A INFRAERO / SENT JORDÃO";"COLISÃO";"CAMINHÃO BAU E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-04;12:10:00;"BOA VIAGEM";"RUA FELIX DE BRITO E MELO";"728";"EM FRENTE AO EDIFICIO VILA D´OURO";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-04;12:33:00;"TORRE";"RUA PADRE LANDIM";NA;"EM FRENTE AO COLÉGIO CRISTO REI";"COLISÃO";"COLISÃO COM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;13:32:00;"BAIRRO DO RECIFE";"AV ALFREDO LISBOA";NA;"EM FRENTE AO MINISTERIO DA FAZENDA";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;14:33:00;"MADALENA";"AV VISCONDE DE ALBUQUERQUE";NA;"PROX DO LESSA DE ANDRADE E/F DO POSTO EXTRA";"COLISÃO";"COLISAO DE ONIBUS E AUTO S/V";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-04;15:34:00;"JORDÃO";"AV MARIA IRENE";"1225";"PROXÍMO AO JORDÃO MOTO PEÇAS";"COLISÃO";"COLISÃO COM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;15:51:00;"CABANGA";"AV ENGENHEIRO JOSE ESTELITA";"660";"SENTIDO AGAMENON, CABAGA HIATE CLUB";"COLISÃO";"2 AUTOS";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;16:12:00;"BEBERIBE";"AV BEBERIBE";NA;"E/F DO SEST SENT";"COLISÃO";"COLISAO DE CAMINHAO E AUTO S/V";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-04;16:14:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";"4264";"EM FRETE A GALLETOS";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-04;16:43:00;"BAIRRO DO RECIFE";"AV ALFREDO LISBOA";NA;"EM FRENTE A PRAÇA DO MARCO ZERO";"COLISÃO";"COLISÃO ENTRE AUTO E MOTO COM VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-01-04;17:08:00;"CASA FORTE";"AV DEZESSETE DE AGOSTO";NA;"ESQ COM A RUA  ENG OSCAR FERREIRA / SEMAFORO 646";"COLISÃO";"MOTO E AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;17:27:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"PROXÍMO A IMBIRIBEIRA DIESEL / SENTIDO CIDADE";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-04;18:09:00;"BONGI";"RUA DR SEVERINO JATOBA";"1230";"EM FRENTE AO BAR DO LUIZ E APOS A PADARIA SANTA JOANA";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;19:02:00;"SAN MARTIN";"RUA VISCONDE PARNAIBA";"135";"NA RUA DO BAR DO PAULO E A CHESF";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-04;20:41:00;"PINA";"AV ENGENHEIRO DOMINGOS FERREIRA";NA;"APOS A GREJA DO PINA, SENTIDO BOA VIAGEM";"COLISÃO";"COLISÃO ENTRE ONIBUS DA BORBOREMA E AUTO, S/V";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-05;06:16:00;"TAMARINEIRA";"RUA CONEGO BARATA";NA;"AO LADO DA FERREIRA COSTA / SENTIDO AFOGADOS";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-05;07:22:00;"IMBIRIBEIRA";"RUA JOSE DA SILVA LUCENA";"273";"EM FRENTE A EMPRESA LATOMEX";"COLISÃO";"COLISÃO SEM VÍTMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-05;13:27:00;"TEJIPIÓ";"AV DR JOSE RUFINO";"XX";"ANTES DO MURO DO 4 DECON";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-05;14:28:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";NA;"AO LADO DA FACULDADE UNIVERSO / SENT  CIDADE / AO LADO DO POSTO SHELL";"COLISÃO";"DOIS AUTOS";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-05;14:47:00;"DOIS IRMÃOS";"RUA DOIS IRMAOS";NA;"PROX DO LAFEPE NO SEMAFORO 416";"COLISÃO";"COLISAO DE MOTO E AUTO COM VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-05;15:27:00;"BARRO";"RUA POETA APRENDIZ";"10";"E/F AO MERCADO BOA OPCAO";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-05;17:38:00;"JARDIM SÃO PAULO";"RUA FREI ATANAZIO";NA;"COM A RUA NOSSA SENHORA DE FATIMA NO SEMFORO 141";"COLISÃO";"COLISAO DE MOTO AUTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-05;18:10:00;"ESPINHEIRO";"AV GOVERNADOR AGAMENON MAGALHAES";NA;"PROX. A UPE, EM CIMA DO VIA DUTO DA JOÃO DE BARROS";"COLISÃO";"COLISÃO ENTRE AUTO E MOTO COM VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-05;19:02:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";"3303";"PROX. A BIG BEN E O BANCO DO BRADESCO, SENTIDO CIDADE";"COLISÃO";"COLISÃO ENTRE AUTO E ONIBUS DA BORBOREMA, S/V";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;07:49:00;"CAÇOTE";"AV CAPITAO GREGORIO DE CALDAS";NA;"AO LADO DO ESTACIONAMENTO DO HIPER DA AV. RECIFE";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;11:23:00;"SANTO AMARO";"AV GOVERNADOR AGAMENON MAGALHAES";NA;"SENTIDO  OLINDA  RECIFE  E/F  AO  MINISTERIO PUBLICO  FEDERAL";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;11:43:00;"CAXANGÁ";"AV CAXANGA";NA;"SEMAFORO 008";"COLISÃO";"COLISAO ENTRE AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;11:49:00;"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";"4000";"AO LADO DA LOCALIZA SEMI NOVOS";"COLISÃO";"COL.S/V.SET .SUB";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;13:39:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";"1350";"EM FRENTE AO EDF/RESIDENCIAL PERNAMBUCO";"COLISÃO";"COL.S/V.";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-06;18:33:00;"DERBY";"AV GOVERNADOR AGAMENON MAGALHAES";"141";"UM SEMAFORO ANTES DO HOSPITAL PORTUGUES";"COLISÃO";"CAMINHÃO E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"COM VÍTIMA";"CANCELADA";2016-01-06;19:13:00;"VÁRZEA";"RUA FRANCISCO LACERDA";"265";"EM FRENTE AO RESTAURANTE BRAZZETUS";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-01-06;19:48:00;"BOA VIAGEM";"RUA ANTONIO FALCAO";"XX";"EMBAIXO DO VIADUTO DA VIA MANGUE";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-01-06;19:58:00;"TORRE";"RUA LEONARDO BEZERRA CAVALCANTE";"672";"EM FRENTE A SHOPPING PLAZA EM FRENTE A LOJA CARA DE SONO";"COLISÃO";"AUTO E MOTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-06;22:25:00;"TORRE";"RUA JOSE BONIFACIO";NA;"ENFR A FARMACIA DROGASIL POR TRAS DO ATACADO DOS PRESENTES";"COLISÃO";"VEICULO OFICIAL E UMA SHINERAY";"1";NA;"1";NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;07:26:00;"BOA VIAGEM";"RUA JOSE DA SILVA LUCENA";"273";"E/F A LACOMEX LOJA DE VINHOS, NO LADO DIREITO DA VIA.";"COLISÃO";"SEM VÍTIMAS";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-07;08:17:00;"CAXANGÁ";"AV CAXANGA";NA;"NO SEMAFORO 651 E/F DA FACIPE NA RUA DO COLEGIO CONHECER";"COLISÃO";"COLISAO DE CAMINHAO E AUTO";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;09:20:00;"VASCO DA GAMA";"RUA VASCO DA GAMA";"715";"EM FRENTE A STELA MOVEIS";"COLISÃO";"COLISÃO  SEM VITIMAS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;10:21:00;"TORRE";"AV VISCONDE DE ALBUQUERQUE";"836";"APOS O HOPITAL DE AVILA";"COLISÃO";"COLISAO DE ONIBUS E AURTO S/V";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-07;10:29:00;"BOA VIAGEM";"AV ENGENHEIRO DOMINGOS FERREIRA";"3333";"EM FRENTE A GALERIA SANTA ROSA";"COLISÃO";"COLISÃO COM VITIMA,ONIBUS E AUTO-PASSEIO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"1"
"COM VÍTIMA";"FINALIZADA";2016-01-07;10:36:00;"SAN MARTIN";"RUA OUREM";NA;"COM A RUA CONSUL VIALARES FRAGOSO ESQUINA DA CAVALARIA EDF QUINTA DAS GRAÇAS";"COLISÃO";"COLISAO DE DOIS AUTOS COM UMA VITIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;10:48:00;"BOA VIAGEM";"RUA VISCONDE DE JEQUITINHONHA";NA;"NO CRUZAMENTO DA RUA ENGERENHO ZAEL DIOGENES";"COLISÃO";"COLISÃO SEM VÍTIMA";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-07;11:41:00;"SAN MARTIN";"AV ENGENHEIRO ABDIAS DE CARVALHO";NA;"COM A RUA GENERAL SAN MARTIN E/F DA CHESF NO SEMAFORO 058";"COLISÃO";"COLISAO DE CAMINHAO E AUTO S/V NO SEMAFORO 058";"1";NA;NA;NA;NA;NA;"1";NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;13:26:00;"DERBY";"AV GOVERNADOR AGAMENON MAGALHAES";NA;"AO LADO DA PRAÇA DO DERBY E/F DA FACE IMAGEM S/T BOA VIAGEM";"COLISÃO";"COLISAO DE ONIBUS E AUTO S/V";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-07;13:34:00;"JAQUEIRA";"RUA LEONARDO BEZERRA CAVALCANTE";"340";"NA RUA DA INSINUANTE E/F DO EDF PORTAL DO CAPIBARIBE";"COLISÃO";"COLISAO DE MOTO E AUTO S/V";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"CANCELADA";2016-01-07;13:38:00;"DERBY";"AV GOVERNADOR AGAMENON MAGALHAES";NA;"SAÍDA DO INTERNACIONAL, SENTIDO BOA VIAGEM";"COLISÃO";"01 AUTO 01 ONIBUS";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
"COM VÍTIMA";"FINALIZADA";2016-01-07;13:41:00;"PARNAMIRIM";"RUA LEONARDO BEZERRA CAVALCANTE";"250";"PRÓXIMO AO HOSPITAL MARIA LUCINDA, E/F COLÉGIO SANTA MARIA MARILAC, SENTIDO CASA FORTE";"COLISÃO";"01 MOTO 01 AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"1"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;14:25:00;"BREJO DA GUABIRABA";"AV VEREADOR OTACILIO AZEVEDO";NA;"AO LADO DA GARAGEM EMPRESA GLOBO";"COLISÃO";"01 MOTO 01 AUTO";"1";"1";NA;NA;NA;NA;NA;NA;NA;"0"
"SEM VÍTIMA";"FINALIZADA";2016-01-07;14:27:00;"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";NA;"SEMAFARO 146";"COLISÃO";"COLISAO ENTRE ONIBUS E AUTO";"1";NA;NA;NA;NA;"1";NA;NA;NA;"0"
